,字节跳动,数据产品经理,北京,2-3.5万/月,09-03
3316,国富光启(北京)科技发展有限公司,数据分析师,北京-丰台区,6-8千/月,09-03
3317,蓝蛙餐饮管理（上海）有限公司Blu...,数据分析师,上海-浦东新区,4-6千/月,09-03
3318,广州星期八信息科技有限公司,数据分析师,广州-海珠区,4-6千/月,09-03
3319,南京米草环保科技有限公司,数据分析师,南京-秦淮区,4-8千/月,09-03
3320,广州蔻斯汀个人护理用品有限公司,数据分析师,广州,6-8千/月,09-03
3321,广州阿诺玛环保科技有限公司,数据分析师,广州-白云区,0.8-1万/月,09-03
3322,杭州卓亨服饰有限公司,数据分析师,杭州-余杭区,0.9-1.1万/月,09-03
3323,江苏罗来雅实业股份有限公司,数据分析师,扬州,6-8千/月,09-03
3324,北京樱花国际日语,数据分析师,北京,0.8-1万/月,09-03
3325,广东嘉源建筑装饰工程有限公司,数据分析师,惠州,6-8千/月,09-03
3326,中国人民财产保险股份有限公司泉州...,数据分析师,三明,4-8千/月,09-03
3327,移动设计院陕西分公司,数据分析师,西安,,09-03
3328,上海蔚洁信息科技服务有限公司,数据分析师,上海-静安区,0.6-1万/月,09-03
3329,重庆西大魔芋生物科技有限公司,数据分析师,重庆-九龙坡区,0.5-1万/月,09-03
3330,深圳市源流科技有限公司,数据分析师,深圳-龙华新区,1-1.5万/月,09-03
3331,杭州合创脉搏房产代理有限公司,数据分析师,杭州-江干区,5-6万/年,09-03
3332,武汉寰球云联网络科技有限公司,数据分析师,武汉-东湖新技...,3-6千/月,09-03
3333,广西百成汇商贸有限公司,数据分析师,南宁,3-4.5千/月,09-03
3334,武汉弘芯半导体制造有限公司,数据分析师,武汉-东西湖区,14-20万/年,09-03
3335,移动设计院山东分公司,数据分析师,济南,,09-03
3336,上海新炬网络信息技术股份有限公司...,数据分析师,广州,4-7千/月,09-03
3337,上海泽东服饰有限公司,数据分析师,上海-普陀区,0.8-1万/月,09-03
3338,博弘建设工程有限公司,数据分析师,西昌,3-5千/月,09-03
3339,移动设计院江苏分公司,数据分析师,南京,,09-03
3340,上海太寅实业有限公司,数据分析师,上海-闵行区,6-8千/月,09-03
3341,福建八萃网络科技有限公司,数据分析师,福州,4-6千/月,09-03
3342,广东花生地产有限公司,数据分析师,广州-天河区,0.9-2万/月,09-03
3343,河南中兴网信科技有限公司,数据分析师,洛阳,0.8-1.2万/月,09-03
3344,天津启未教育咨询有限公司,数据分析师,天津-和平区,6-8千/月,09-03
3345,越海全球物流（苏州）有限公司,数据分析师,昆明-官渡区,5.5-7千/月,09-03
3346,武汉无限未来科技有限公司,数据分析师,武汉,1.4-1.5万/月,09-03
3347,壹加壹国际物流有限公司,数据分析师,东莞-虎门镇,0.8-2万/月,09-03
3348,移动设计院信息建筑业务部,数据分析师,北京,,09-03
3349,泰康在线财产保险股份有限公司,数据分析师,武汉-江岸区,0.5-1万/月,09-03
3350,高柏（中国）企业管理咨询有限公司...,数据分析师,郑州-金水区,0.8-1万/月,09-03
3351,金威廉国际儿童教育,数据分析师,上海-静安区,4.5-6千/月,09-03
3352,厦门市美亚柏科信息股份有限公司,数据分析师,厦门,1-1.5万/月,09-03
3353,深圳市希望社工服务中心,数据分析师,深圳,4.5-6千/月,09-03
3354,四川聚阳科技集团有限公司,数据分析师,异地招聘,0.8-1万/月,09-03
3355,苏州志高网络科技有限公司,数据分析师,苏州,4.5-6千/月,09-03
3356,深圳市富阳鑫纺织品有限公司,数据分析师,深圳-龙岗区,5-8千/月,09-03
3357,中粮我买网有限公司,数据分析师,北京-东城区,1.5-2万/月,09-03
3358,品谱五金家居（中山）有限公司,数据分析师,中山,5-7.5千/月,09-03
3359,武汉好小子机器人科技有限公司,数据分析师,武汉-洪山区,6-8千/月,09-03
3360,苏州美不语信息科技有限公司,数据分析师,苏州-姑苏区,5-8千/月,09-03
3361,翡眯乐（上海）母婴用品有限公司,数据分析师,上海-青浦区,5-6千/月,09-03
3362,普元信息技术股份有限公司,数据分析师,深圳-福田区,1-1.5万/月,09-03
3363,河南木一视画文化传媒有限公司,数据分析师,郑州-二七区,6-8千/月,09-03
3364,广东顶固集创家居股份有限公司,数据分析师,成都-青白江区,3-4.5千/月,09-03
3365,北京星伯乐管理咨询有限公司,数据分析师,北京-海淀区,6-8千/月,09-03
3366,灵语心理科技（杭州）有限公司,数据分析师,杭州-滨江区,6-9千/月,09-03
3367,上海禾心人力资源管理有限公司,数据分析师,上海-长宁区,5-6千/月,09-03
3368,广州华进联合专利商标代理有限公司...,数据分析师,广州-天河区,4-6千/月,09-03
3369,四川晨盈企业管理有限公司,数据分析师,成都-高新区,3-7千/月,09-03
3370,深圳市优倍思贸易有限公司,数据分析师,深圳-宝安区,6-8千/月,09-03
3371,乡村基,数据分析师,重庆-南岸区,4.5-6千/月,09-03
3372,深圳市秀才教育有限公司,数据分析师,深圳-龙岗区,1-1.5万/月,09-03
3373,九天纵横科技（深圳）有限公司,数据分析师,深圳-宝安区,6-8千/月,09-03
3374,深圳市银河碳工科技有限公司,数据分析师,深圳-龙岗区,6-8千/月,09-03
3375,石家庄嘉可房地产经纪有限公司,数据分析师,石家庄,0.3-1万/月,09-03
3376,苏州魔法盒网络科技有限公司,数据分析师,苏州-工业园区,6-8千/月,09-03
3377,网易企业邮箱销售163邮箱,数据分析师,北京,1.5-2万/月,09-03
3378,四川星盛数越网络有限公司,数据分析师,成都,0.8-1万/月,09-03
3379,盈投控股有限公司,数据分析师,深圳-南山区,20-30万/年,09-03
3380,乐歌人体工学科技股份有限公司,数据分析师,宁波,0.9-1.4万/月,09-03
3381,天地壹号饮料股份有限公司,数据分析师,江门,6-9千/月,09-03
3382,成都华西公用医疗信息服务有限公司...,数据分析师,成都-武侯区,0.5-1万/月,09-03
3383,杭州市富阳区风丫教育培训学校,数据分析师,杭州-西湖区,0.5-1.2万/月,09-03
3384,广州优尚优品美容化妆品有限公司,数据分析师,广州-白云区,6-8千/月,09-03
3385,上海喔噻互联网科技有限公司,数据分析师,上海-普陀区,2-3千/月,09-03
3386,巴乐兔-快乐租房,数据分析师,深圳-南山区,0.8-1万/月,09-03
3387,湖北天然居科技有限公司,数据分析师,武汉-江夏区,6-8千/月,09-03
3388,合肥阿斯特电子科技有限公司,数据分析师,晋中,4-8千/月,09-03
3389,长沙乐莎食品有限公司,数据分析师,长沙-开福区,3-4.5千/月,09-03
3390,优医软件（深圳）有限公司,数据分析师,南昌-东湖区,3-4.5千/月,09-03
3391,武汉兆骐信息科技有限公司,数据分析师,武汉-武昌区,0.5-1万/月,09-03
3392,移动设计院黑龙江分公司,数据分析师,银川,,09-03
3393,上海合印网络科技有限公司,数据分析师,上海-静安区,5-7千/月,09-03
3394,深圳市众益商业管理有限公司,数据分析师,深圳-南山区,1-1.5万/月,09-03
3395,南京卓培教育信息咨询有限公司,数据分析师,南京-秦淮区,4-7千/月,09-03
3396,南京朗登杰医疗科技有限公司,数据分析师,上海-闵行区,0.8-1万/月,09-03
3397,UR 快尚时装有限公司,数据分析师,太原,5.4-6.4千/月,09-03
3398,天真蓝,数据分析师,北京,0.8-1万/月,09-03
3399,上海人寿保险股份有限公司,数据分析师,上海-浦东新区,0.8-1.3万/月,09-03
3400,泰璞（上海）电子商务股份有限公司...,数据分析师,上海-普陀区,1-1.5万/月,09-03
3401,广州市奈雪餐饮管理有限公司,数据分析师,南宁,6-8千/月,09-03
3402,延锋汽车内饰系统--内饰亚太总部,数据分析师,上海,15-20万/年,09-03
3403,企畅企业管理（上海）有限公司,数据分析师,上海-徐汇区,1-1.5万/月,09-03
3404,广州芊语雅商贸有限公司,数据分析师,广州-天河区,3.8-5千/月,09-03
3405,理想连线网络技术股份有限公司,数据分析师,异地招聘,5.5-8千/月,09-03
3406,南京朗诗深绿物业管理有限公司成都...,数据分析师,成都-成华区,0.6-1万/月,09-03
3407,福州大洋百货有限公司,数据分析师,福州-鼓楼区,3-4.5千/月,09-03
3408,移动设计院新疆分公司,数据分析师,乌鲁木齐,,09-03
3409,深圳市源头活水网络科技有限公司,数据分析师,深圳-龙华新区,1-1.5万/月,09-03
3410,浙江好邻居便利店有限责任公司,数据分析师,杭州-下城区,3-4.5千/月,09-03
3411,车享汽车俱乐部（上海）有限公司,数据分析师,上海-浦东新区,5-6千/月,09-03
3412,南京乾创电子科技有限公司,数据分析师,南京-雨花台区,0.8-1万/月,09-03
3413,移动设计院北京分公司,数据分析师,北京,,09-03
3414,上海豪篷实业有限公司,数据分析师,上海,0.5-1万/月,09-03
3415,江苏鼎驰电子科技有限公司,数据分析师,徐州,5-8千/月,09-03
3416,广东天波教育科技有限公司,数据分析师,佛山-南海区,3.5-4.5千/月,09-03
3417,迈科（深圳）跨境供应链有限公司,数据分析师,深圳-龙岗区,6-8千/月,09-03
3418,任子行网络技术股份有限公司,数据分析师,济南-历下区,1-1.8万/月,09-03
3419,南京智杰物联科技股份有限公司,数据分析师,南京-江宁区,1-2万/月,09-03
3420,广州尚动计算机科技有限公司,数据分析师,广州-黄埔区,4-6千/月,09-03
3421,中永诺信华富投资基金管理（北京）...,数据分析师,广州-天河区,1-1.5万/月,09-03
3422,广州小鹏汽车科技有限公司,数据分析师,广州-天河区,3-4千/月,09-03
3423,杭州野乐科技有限公司,数据分析师,杭州-余杭区,4-6千/月,09-03
3424,武汉市美力钛科技有限公司,数据分析师,武汉-洪山区,5-8千/月,09-03
3425,江苏沁恒股份有限公司,数据分析师,南京,1.5-2万/月,09-03
3426,深圳市麦田映像文化传播有限公司,数据分析师,深圳-罗湖区,0.8-1万/月,09-03
3427,深圳市酷时代珠宝有限公司,数据分析师,深圳-罗湖区,6-8千/月,09-03
3428,广东海王医药集团有限公司,数据分析师,广州-天河区,3-4.5千/月,09-03
3429,安徽湘达人餐饮管理有限公司,数据分析师,合肥-肥西县,6-8千/月,09-03
3430,上海广尧航空服务有限公司,数据分析师,上海-长宁区,4.5-6千/月,09-03
3431,五路通健康管理（武汉）有限公司,数据分析师,武汉-江岸区,4.5-6千/月,09-03
3432,深圳通联金融网络科技服务有限公司...,数据分析师,长沙-岳麓区,4-8千/月,09-03
3433,杭州灏融信息技术有限公司,数据分析师,杭州-余杭区,1.2-1.5万/月,09-03
3434,深圳市凯欣达卓创科技有限公司,数据分析师,深圳-罗湖区,1-1.5万/月,09-03
3435,深圳康荣电子有限公司,数据分析师,深圳-龙华新区,6-8千/月,09-03
3436,上海复娱文化传播股份有限公司,数据分析师,上海-黄浦区,5-6千/月,09-03
3437,广州樟瞳生物科技有限公司,数据分析师,广州-天河区,10-15万/年,09-03
3438,上海海鼎信息工程股份有限公司,数据分析师,上海-闵行区,1-1.5万/月,09-03
3439,广西音妙文化发展有限公司,数据分析师,南宁,3-6千/月,09-03
3440,上海聚明网络科技有限公司,数据分析师,上海-长宁区,0.5-1万/月,09-03
3441,广州灵韵养生服务有限公司,数据分析师,广州-天河区,0.8-1.2万/月,09-03
3442,广州市南沣贸易有限公司,数据分析师,广州-白云区,4.5-6千/月,09-03
3443,上海京美实业有限公司,数据分析师,上海,5-8千/月,09-03
3444,深圳市世纪伟图科技开发有限公司,数据分析师,深圳-福田区,3.5-4千/月,09-03
3445,浙江金业汽车部件有限公司,数据分析师,宁波-慈溪市,8-10万/年,09-03
3446,上海绿地优鲜超市二区,数据分析师,上海-普陀区,5-7千/月,09-03
3447,武汉荆楚英才人力资源有限公司,数据分析师,武汉-洪山区,3-4.5千/月,09-03
3448,苏州华纱服饰有限公司,数据分析师,苏州,6-8千/月,09-03
3449,深圳市中电电力技术股份有限公司,数据分析师,西安,4-8千/月,09-03
3450,优合集团有限公司,数据分析师,深圳,1-2万/月,09-03
3451,深圳市中正国际物流有限公司,数据分析师,深圳,3-5万/月,09-03
3452,南京新维度教育科技有限公司上海第...,数据分析师,上海-浦东新区,6-8千/月,09-03
3453,江苏掌仓网络科技有限公司,数据分析师,南京-江宁区,3.5-4.2千/月,09-03
3454,重庆梦姿化妆品有限公司,数据分析师,重庆-渝中区,3-4.5千/月,09-03
3455,武汉市呐喊网络科技有限公司,数据分析师,武汉-洪山区,2.5-3千/月,09-03
3456,苏州百捷信息科技有限公司,数据分析师,广州-越秀区,4.5-6千/月,09-03
3457,浙江新远方信息产业发展有限公司,数据分析师,嘉兴,3-4.5千/月,09-03
3458,优尼冲压（中国）投资有限公司,数据分析师,广州,4.5-6千/月,09-03
3459,深圳超博信息科技有限公司,数据分析师,异地招聘,2-3.5万/月,09-03
3460,新中冠智能科技股份有限公司,数据分析师,福州-台江区,3-4.5千/月,09-03
3461,广州尼恒科技有限公司,数据分析师,广州-白云区,0.5-1万/月,09-03
3462,武汉菲旺软件技术有限责任公司,数据分析师,武汉-洪山区,6-8千/月,09-03
3463,广州飞马网络科技有限公司,数据分析师,广州-白云区,4.5-6千/月,09-03
3464,广东广恒美电器有限公司,数据分析师,广州-海珠区,4-5千/月,09-03
3465,麦柯森企业发展（上海）有限公司,数据分析师,上海-浦东新区,6-8千/月,09-03
3466,移动设计院信息能源所,数据分析师,北京,,09-03
3467,光明网传媒有限公司,数据分析师,北京,6-8千/月,09-03
3468,深圳市闻道服饰有限公司,数据分析师,深圳-罗湖区,6-8千/月,09-03
3469,广州市精韵龙工贸有限公司,数据分析师,广州-番禺区,0.6-1万/月,09-03
3470,杭州尔墨科技有限公司,数据分析师,杭州-西湖区,0.5-1万/月,09-03
3471,碧迪医疗器械（上海）有限公司,数据分析师,上海,,09-03
3472,广州小时代投资咨询有限公司,数据分析师,广州-天河区,0.5-1万/月,09-03
3473,厦门市欧一坊服饰有限公司,数据分析师,广州-番禺区,5-8千/月,09-03
3474,杭州泓铭电子商务有限公司,数据分析师,杭州-西湖区,0.4-1.2万/月,09-03
3475,上海狼耕企业管理有限公司,数据分析师,上海,0.8-1万/月,09-03
3476,武汉金房子网络科技有限公司,数据分析师,武汉-汉阳区,6-8千/月,09-03
3477,深圳市嘉和宜贸易有限公司,数据分析师,深圳-坪山区,0.6-1万/月,09-03
3478,深圳市佰事德科技有限公司,数据分析师,深圳-龙华新区,0.6-1.2万/月,09-03
3479,深圳市车友联盟汽车服务有限公司,数据分析师,深圳-南山区,4.5-6千/月,09-03
3480,珠海欣立贸易有限公司,数据分析师,中山,3-4.5千/月,09-03
3481,瑞尔利科技（深圳）有限公司,数据分析师,深圳-宝安区,1-2万/月,09-03
3482,雷士照明,数据分析师,天津-西青区,4-6千/月,09-03
3483,苏州天臣国际医疗科技有限公司,数据分析师,苏州,4.5-6千/月,09-03
3484,杭州司腾网络技术有限公司,数据分析师,杭州-滨江区,1.5-2万/月,09-03
3485,常州博悦信息技术有限公司,数据分析师,常州-新北区,3-6千/月,09-03
3486,江西聚和电子商务有限公司,数据分析师,南昌-红谷滩新...,3.5-4.5千/月,09-03
3487,成都雄毅科技有限公司,数据分析师,成都,3-4.5千/月,09-03
3488,浙江吉米投资管理有限公司,数据分析师,杭州-江干区,5-8千/月,09-03
3489,广州杰光企业有限公司,数据分析师,广州-越秀区,3-4.5千/月,09-03
3490,深圳链家房地产经纪有限公司,数据分析师,深圳,0.8-1.5万/月,09-03
3491,广州市煮煮网网络科技有限公司,数据分析师,广州-海珠区,1-1.5万/月,09-03
3492,北京智丰和科技有限公司,数据分析师,北京-朝阳区,4.9-6.9千/月,09-03
3493,广州发贝圣贸易有限公司,数据分析师,广州,0.5-1万/月,09-03
3494,上海美日医疗健康科技有限公司,数据分析师,上海-静安区,1-1.5万/月,09-03
3495,广州精英教育培训中心有限公司,数据分析师,广州-天河区,1-1.2万/月,09-03
3496,深圳市互联在线云计算股份有限公司...,数据分析师,深圳-龙华新区,5-7千/月,09-03
3497,哈尔滨市南岗区致知文化培训学校,数据分析师,哈尔滨,4.5-6千/月,09-03
3498,广州维尔教育咨询有限公司,数据分析师,广州-天河区,0.6-1.2万/月,09-03
3499,上海达尔威贸易有限公司,数据分析师,上海-静安区,4.5-6千/月,09-03
3500,上海瑞澳文化传播有限公司,数据分析师,上海-青浦区,1-1.5万/月,09-03
3501,南京初刻信息科技有限公司,数据分析师,南京-栖霞区,0.5-1万/月,09-03
3502,深圳市恒森微电子有限公司,数据分析师,深圳-福田区,4-5千/月,09-03
3503,美联英语成都培训中心/学校,数据分析师,成都-青羊区,1-2万/月,09-03
3504,兆航物流东西三区,数据分析师,西安-灞桥区,2.6-4千/月,09-03
3505,上海恒封密封制品有限公司,数据分析师,上海,0.8-1万/月,09-03
3506,广州法运商务咨询有限公司,数据分析师,广州-白云区,0.8-1.5万/月,09-03
3507,杭州众诚咨询监理有限公司,数据分析师,杭州-萧山区,4-6千/月,09-03
3508,深圳市飞尔跃科技发展有限公司,数据分析师,深圳-福田区,1-1.5万/月,09-03
3509,上会会计师事务所（特殊普通合伙）...,数据分析师,上海,20-30万/年,09-03
3510,明远信息技术（广东）有限公司,数据分析师,广州-天河区,6-8千/月,09-03
3511,沈阳晟德科技有限公司,数据分析师,沈阳-皇姑区,0.6-1万/月,09-03
3512,江苏九旭药业有限公司,数据分析师,异地招聘,0.5-1万/月,09-03
3513,上海卓建网络科技有限公司,数据分析师,上海-徐汇区,5-8千/月,09-03
3514,盘谷银行（中国）有限公司,数据分析师,上海-黄浦区,60元/天,09-03
3515,北京宏远科创软件有限公司,数据分析师,北京-朝阳区,2-3万/月,09-03
3516,成都天符人瑞教育咨询有限公司,数据分析师,苏州-吴中区,4.5-6.5千/月,09-03
3517,益阳搜空高科软件有限公司长沙分公...,数据分析师,长沙-岳麓区,3-5千/月,09-03
3518,捷信消费金融有限公司,数据分析师,临夏,3-4.5千/月,09-03
3519,成都华跃科技有限公司,数据分析师,成都-高新区,3-4千/月,09-03
3520,北京妙笔智能科技有限公司,数据分析师,北京-海淀区,3-4万/月,09-03
3521,苏州元素集化学工业有限公司,数据分析师,昆山,6-9千/月,09-03
3522,湖北金泉新材料有限责任公司,数据分析师,荆门,4.5-5千/月,09-03
3523,厦门伟然科技有限公司,数据分析师,厦门,6-8千/月,09-03
3524,广州爱松饰品有限公司,数据分析师,广州-越秀区,0.5-1.2万/月,09-03
3525,上海金程教育培训有限公司,数据分析师,上海-虹口区,0.8-1万/月,09-03
3526,成都古摄影婚纱艺术发展管理有限公...,数据分析师,成都-锦江区,6-8千/月,09-03
3527,广州时分购无界网络科技有限公司,数据分析师,广州-天河区,0.8-1万/月,09-03
3528,上海寰越电子商务有限公司,数据分析师,上海-普陀区,0.8-1万/月,09-03
3529,深圳链时代科技控股有限公司,数据分析师,深圳-南山区,0.4-1万/月,09-03
3530,广州市班西贸易有限公司,数据分析师,广州-白云区,0.8-1.2万/月,09-03
3531,世纪宝姿（厦门）实业有限公司,数据分析师,深圳,,09-03
3532,深圳市达正通电子有限公司,数据分析师,广州-天河区,4.5-6千/月,09-03
3533,广州埃沃定制科技股份有限公司（I...,数据分析师,广州-越秀区,6-8千/月,09-03
3534,深圳市展星实业有限公司,数据分析师,深圳,1-1.5万/月,09-03
3535,江西明源云信息科技有限公司,数据分析师,南昌-红谷滩新...,1.5-2万/月,09-03
3536,日发云岭（北京）科技有限公司武汉...,数据分析师,武汉,3-5千/月,09-03
3537,西敏旅行社,数据分析师,广州,3.5-4.5千/月,09-03
3538,东易日盛家居装饰集团股份有限公司...,数据分析师,上海,5-6千/月,09-03
3539,重庆品令百观文化传播有限公司,数据分析师,重庆-九龙坡区,6-8千/月,09-03
3540,深圳前海创思特光电科技有限公司,数据分析师,深圳-光明新区,4-6千/月,09-03
3541,格林沃尔集团（广东）生物药业有限...,数据分析师,广州-增城,4.5-6千/月,09-03
3542,上海盈溪电子商务有限公司,数据分析师,上海-宝山区,5-8千/月,09-03
3543,富鑫投资集团（上海）有限公司,数据分析师,上海-浦东新区,4.5-6千/月,09-03
3544,广州市圣诺丝化妆品有限公司,数据分析师,广州-番禺区,0.5-1.2万/月,09-03
3545,河南鑫亿航电子科技有限公司,数据分析师,郑州-管城回族...,0.8-1.2万/月,09-03
3546,平安健康保险股份有限公司,数据分析师,上海-徐汇区,1-1.5万/月,09-03
3547,广州市仟益贸易有限公司（惠而信）...,数据分析师,佛山,0.8-1.2万/月,09-03
3548,北京三行华拓科技发展有限公司,数据分析师,北京-海淀区,4.5-7千/月,09-03
3549,德诚行地产,数据分析师,广州-天河区,0.3-1.2万/月,09-03
3550,赛瓦软件(上海)有限公司,数据分析师,上海-徐汇区,0.7-1.2万/月,09-03
3551,深圳市达尔实科技有限公司,数据分析师,深圳-南山区,6.5-7.5千/月,09-03
3552,广州瑞讯达系统科技有限公司,数据分析师,长春,4.5-6千/月,09-03
3553,武汉燃舞文化传媒有限公司,数据分析师,武汉-武昌区,0.8-1万/月,09-03
3554,中建一局集团房地产开发有限公司,数据分析师,镇江,1-1.8万/月,09-03
3555,新银河世纪跨境电商产业园,数据分析师,广州-黄埔区,0.7-1万/月,09-03
3556,成都法码斯科技有限公司,数据分析师,成都-高新区,12-18万/年,09-03
3557,南昌家家乐文化传播有限公司,数据分析师,南昌-红谷滩新...,6-8千/月,09-03
3558,上海戴屹科技有限公司,数据分析师,扬州,5-7千/月,09-03
3559,上海米芝莲餐饮管理有限公司,数据分析师,深圳,6-8千/月,09-03
3560,深圳市锦鸿泰科技有限公司,数据分析师,深圳-龙华新区,4.5-6千/月,09-03
3561,武汉源盟动物保健品有限公司,数据分析师,武汉-汉阳区,3-4.5千/月,09-03
3562,千禧光医疗科技（上海）有限公司,数据分析师,上海-松江区,0.8-1万/月,09-03
3563,旌正品牌策略（广州）有限公司,数据分析师,广州-越秀区,3-4.5千/月,09-03
3564,深圳市云领天下科技有限公司,数据分析师,深圳-南山区,1.2-2万/月,09-03
3565,深圳市森磊装饰设计工程有限公司,数据分析师,广州-天河区,4-7千/月,09-03
3566,常州欧尚超市有限公司兰陵店,数据分析师,常州,17元/小时,09-03
3567,苏州体格体育发展有限公司,数据分析师,苏州-工业园区,4-6千/月,09-03
3568,北京新东方前途出国咨询有限公司天...,数据分析师,天津,3.5-5千/月,09-03
3569,西安荣华集团有限公司,数据分析师,西安,5-8千/月,09-03
3570,上海辉腾精密切削工具有限公司,数据分析师,上海-松江区,0.7-1.2万/月,09-03
3571,德同投资咨询（上海）有限公司,数据分析师,上海-徐汇区,140元/天,09-03
3572,郑州市润洋电子科技有限公司,数据分析师,郑州-金水区,0.8-1万/月,09-03
3573,绫致时装（天津）有限公司,数据分析师,上海,176元/天,09-03
3574,广州珊子服饰设计有限公司,数据分析师,广州-番禺区,0.8-1万/月,09-03
3575,武汉锐微科科技有限公司,数据分析师,武汉-东西湖区,1-1.5万/月,09-03
3576,朗诗地产上海区域公司,数据分析师,异地招聘,6-8千/月,09-03
3577,北京联合货币兑换股份有限公司,数据分析师,北京-朝阳区,5-8千/月,09-03
3578,广西怡之鑫科技有限公司,数据分析师,南宁,0.8-1万/月,09-03
3579,深圳市万皓生鲜有限公司,数据分析师,深圳-宝安区,1-1.5万/月,09-03
3580,北京新赛点体育投资股份有限公司上...,数据分析师,上海-浦东新区,0.8-1.4万/月,09-03
3581,赫曼米勒HermanMiller,数据分析师,青岛-崂山区,3-5千/月,09-03
3582,武汉伯美帝科生物医疗科学技术有限...,数据分析师,武汉-江岸区,10-15万/年,09-03
3583,广州密骏机械设备有限公司,数据分析师,广州-天河区,4.5-6千/月,09-03
3584,精进电动科技股份有限公司,数据分析师,河北省,,09-03
3585,广州美街电子商务有限公司,数据分析师,广州-番禺区,0.7-1万/月,09-03
3586,媛骐源（深圳）实业有限公司,数据分析师,深圳-福田区,5.5-8千/月,09-03
3587,长沙市环金网络科技有限公司,数据分析师,长沙-岳麓区,4-8千/月,09-03
3588,北京艾卖驰科技有限公司,数据分析师,西安-高新技术...,4-8千/月,09-03
3589,广州形优科技有限公司,数据分析师,广州-白云区,6-7千/月,09-03
3590,乐山立事达实业有限公司,数据分析师,乐山,3-4.5千/月,09-03
3591,四川太阳鸟网络科技有限公司,数据分析师,成都-武侯区,3-4千/月,09-03
3592,广东金龙东创智能装备有限公司,数据分析师,东莞,6-8千/月,09-03
3593,武汉达权集团,数据分析师,武汉-洪山区,3.5-5.5千/月,09-03
3594,深圳市蚂蚁智行科技有限公司,数据分析师,深圳-龙华新区,1.3-1.8万/月,09-03
3595,房多多网络科技,数据分析师,上海-静安区,6-8千/月,09-03
3596,福州缘木轩木业有限公司,数据分析师,福州-闽侯县,1-1.5万/月,09-03
3597,广州市嘉晋科教投资有限公司,数据分析师,广州-荔湾区,0.8-1万/月,09-03
3598,宁波市天齐电子商务有限公司,数据分析师,宁波-鄞州区,0.4-1万/月,09-03
3599,青岛赛恩自控技术有限公司,数据分析师,青岛,0.7-1万/月,09-03
3600,深圳市爱庞德新能源科技有限公司,数据分析师,深圳-龙岗区,3.5-6千/月,09-03
3601,意尔康郑州营销管理中心,数据分析师,新乡,4.5-6千/月,09-03
3602,上海合合信息科技发展有限公司,数据分析师,上海-静安区,0.7-1.2万/月,09-03
3603,广东永鸿钟表有限公司,数据分析师,广州-黄埔区,0.6-1万/月,09-03
3604,西安房多多网络科技有限公司,数据分析师,异地招聘,3-4.5千/月,09-03
3605,北京澳晨国际教育投资有限公司,数据分析师,南昌,6-8千/月,09-03
3606,深圳市亚启科技有限公司,数据分析师,深圳-龙岗区,0.8-1.2万/月,09-03
3607,东莞市拓盛企业管理咨询有限公司,数据分析师,东莞-莞城区,0.8-1万/月,09-03
3608,成都轨道交通集团有限公司,数据分析师,成都,1-1.2万/月,09-03
3609,广州天英网络科技有限公司,数据分析师,广州-天河区,0.6-1万/月,09-03
3610,重庆多美佳餐饮有限公司,数据分析师,重庆-南岸区,5-6千/月,09-03
3611,初筵餐饮管理（上海）有限公司,数据分析师,上海-黄浦区,6-8千/月,09-03
3612,南京连天美医院有限公司,数据分析师,南京,0.7-1.4万/月,09-03
3613,上海优景智能科技股份有限公司,数据分析师,上海-杨浦区,4.5-6千/月,09-03
3614,苏州图灵微视自动化科技有限公司,数据分析师,苏州-工业园区,4.5-6千/月,09-03
3615,湖南西子电商品牌管理有限公司,数据分析师,长沙-岳麓区,3-4.5千/月,09-03
3616,米技电子电器（上海）有限公司 Mi...,数据分析师,上海-闵行区,1-1.5万/月,09-03
3617,南京贝登医疗股份有限公司,数据分析师,南京,0.8-1.2万/月,09-03
3618,南京领先环保技术股份有限公司,数据分析师,南通,3-4.5千/月,09-03
3619,弘毅国学1,数据分析师,上海-虹口区,1-1.5万/月,09-03
3620,梓昆科技(中国)股份有限公司,数据分析师,杭州-滨江区,4.5-6千/月,09-03
3621,深圳市亿配电子商务有限公司,数据分析师,深圳-龙华新区,0.5-1万/月,09-03
3622,无锡恰尔德商贸有限公司,数据分析师,无锡-梁溪区,3-4.5千/月,09-03
3623,哈工智慧（武汉）科技有限公司,数据分析师,武汉,1.5-2万/月,09-03
3624,中信环境技术（广州）有限公司,数据分析师,广州,1.5-3万/月,09-03
3625,上海雍治文化传播有限公司,数据分析师,西安-雁塔区,4-8千/月,09-03
3626,苏州牧天动力机械有限公司,数据分析师,苏州,4.5-6千/月,09-03
3627,四川博道维新企业管理有限公司,数据分析师,成都-武侯区,5-8千/月,09-03
3628,穗宝集团,数据分析师,广州-越秀区,4.5-6千/月,09-03
3629,诺亚蓝标财富管理有限公司,数据分析师,上海-杨浦区,2-3千/月,09-03
3630,成都觅瑞科技有限公司,数据分析师,成都-高新区,3-6千/月,09-03
3631,上海宁圣企业管理集团有限公司,数据分析师,上海-普陀区,6-9千/月,09-03
3632,深圳市耀泰明德科技有限公司,数据分析师,深圳-南山区,15-20万/年,09-03
3633,上海培匠教育科技有限公司,数据分析师,上海-杨浦区,6-8千/月,09-03
3634,杭州健驰医疗科技有限公司,数据分析师,杭州,4.5-6千/月,09-03
3635,昆明神磨机械制造有限公司,数据分析师,昆明-官渡区,0.8-1万/月,09-03
