,字节跳动,数据产品经理,北京,2-3.5万/月,09-03
110,四川华雁信息产业股份有限公司,数据产品经理,成都-高新区,1-2万/月,09-03
111,上海极吼吼信息技术有限公司,数据产品经理,上海-长宁区,0.6-1万/月,09-03
112,顺便信息科技（广东）有限公司,数据产品经理,广州,0.6-1万/月,09-03
113,深圳市致道景观有限公司,数据产品经理,南京-秦淮区,4.5-6千/月,09-03
114,湖北美驿天程信息服务有限公司,数据产品经理,武汉-江夏区,3-5千/月,09-03
115,上海德拓信息技术股份有限公司,数据产品经理,北京-朝阳区,0.7-1.2万/月,09-03
116,东莞市泰泽服饰有限公司,数据产品经理,东莞-虎门镇,4.5-6千/月,09-03
117,湖南爱运动体育用品有限公司,数据产品经理,长沙,4.5-6千/月,09-03
118,上海中梁地产集团有限公司,数据产品经理,连云港,6-8万/年,09-03
119,深圳市赢时胜信息技术股份有限公司...,数据产品经理,上海-浦东新区,1-1.8万/月,09-03
120,露乐健康科技（广州）有限公司,数据产品经理,广州-天河区,0.8-1.5万/月,09-03
121,凯丹置地（成都）资产管理有限公司...,数据产品经理,大连-中山区,0.8-1万/月,09-03
122,广州舜飞信息科技有限公司,数据产品经理,深圳-南山区,1.5-2.5万/月,09-03
123,颖通（上海）贸易有限公司,数据产品经理,上海-闵行区,1-2万/月,09-03
124,上海二三四五网络科技有限公司,数据产品经理,上海-浦东新区,1-1.5万/月,09-03
125,南京薏凡特体育发展有限公司,数据产品经理,南京-建邺区,1-1.5万/月,09-03
126,湖南机械之家信息科技有限公司,数据产品经理,长沙-岳麓区,6-9千/月,09-03
127,西安佳帮手日用品有限公司,数据产品经理,西安-灞桥区,0.6-1万/月,09-03
128,上海纳觅财务咨询有限公司,数据产品经理,上海,5-7千/月,09-03
129,久久丫,数据产品经理,广州,4.5-6千/月,09-03
130,联想百应（天津）科技有限公司,数据产品经理,成都-高新区,4-5千/月,09-03
131,上海金指软件技术有限公司,数据产品经理,上海-浦东新区,1.2-1.8万/月,09-03
132,南宁东大中医肛肠医院有限公司,数据产品经理,南宁,3-4.5千/月,09-03
133,广州博纳信息技术有限公司,数据产品经理,广州,0.6-1.2万/月,09-03
134,赛友荟（广州）健康管理咨询有限公...,数据产品经理,广州-天河区,4.5-6千/月,09-03
135,北京云测信息技术有限公司,数据产品经理,厦门,2-4千/月,09-03
136,鸥游酒店管理（上海）有限公司,数据产品经理,上海,3-3.5万/月,09-03
137,佛山传媒集团,数据产品经理,佛山,10-15万/年,09-03
138,律正投资管理（上海）有限公司,数据产品经理,武汉,4.5-6千/月,09-03
139,永辉彩食鲜发展有限公司,数据产品经理,石家庄,3-4.5千/月,09-03
140,广东南方数码科技股份有限公司,数据产品经理,广州,0.5-1万/月,09-03
141,英雄互娱科技股份有限公司,数据产品经理,上海-静安区,1-2万/月,09-03
142,深圳市招华国际会展运营有限公司,数据产品经理,深圳-宝安区,1-2万/月,09-03
143,山西宇隆典汇信息科技有限公司,数据产品经理,太原,6-8千/月,09-03
144,江苏欣网视讯软件技术有限公司,数据产品经理,南京-秦淮区,0.8-1万/月,09-03
145,上海昂美软件科技有限公司,数据产品经理,上海-闵行区,4.5-6千/月,09-03
146,深圳白骑士大数据有限公司,数据产品经理,深圳-南山区,0.6-1.2万/月,09-03
